project,p_freedom_iss,p_respect_iss,p_equity_iss,p_broad_iss,p_power_iss,p_enviro_iss,p_in_all,p_out_a0_1,p_out_a2_3,p_out_a4_8,p_out_a9up,month
Graphite-Docs,0,0,0,0,0,0,1,.75,,,,2018m3
Graphite-Docs,0,0,0,0,0,0,.6,.6666666666666666,,,,2018m4
Graphite-Docs,0,0,0,0,0,0,.5,1,0,,,2018m5
Graphite-Docs,0,0,0,0,0,0,.5,.5,0,,,2018m6
Graphite-Docs,0,0,0,0,0,0,.3333333333333333,1,0,0,,2018m7
Graphite-Docs,0,0,0,0,0,0,.5,1,,.5,,2018m8
Graphite-Docs,0,0,0,0,0,0,.7777777777777778,.8571428571428571,,0,,2018m9
Graphite-Docs,0,0,0,0,0,0,.75,.6666666666666666,,0,,2018m10
Graphite-Docs,0,0,0,0,0,0,.25,0,0,0,,2018m11
Graphite-Docs,0,0,0,0,0,0,.5714285714285714,1,,,0,2018m12
Graphite-Docs,0,0,0,0,0,0,.4,1,.5,,0,2019m1
Graphite-Docs,0,0,0,0,0,0,.6666666666666666,1,1,,0,2019m2
Graphite-Docs,0,0,0,0,0,0,.3333333333333333,1,0,,0,2019m3
Graphite-Docs,0,0,0,0,0,0,.5,1,,,0,2019m4
Graphite-Docs,0,0,0,0,0,0,.5714285714285714,1,0,0,0,2019m5
Graphite-Docs,0,0,0,0,0,0,.25,0,0,1,0,2019m6
Graphite-Docs,0,0,0,0,0,0,.75,1,,,0,2019m7
Graphite-Docs,0,0,0,0,0,0,.6,1,,,0,2019m8
Graphite-Docs,0,0,0,0,0,0,1,1,,,,2019m9
Graphite-Docs,0,0,0,0,0,0,.6666666666666666,1,,,0,2019m11
Graphite-Docs,0,0,0,0,0,0,.5,1,,1,,2020m2
Graphite-Docs,0,0,0,0,0,0,1,1,,,,2020m3
Graphite-Docs,0,0,0,0,0,0,1,1,,,,2020m4
Graphite-Docs,,,,,,,1,1,,,,2020m5
Graphite-Docs,,,,,,,0,,,,0,2020m8
Graphite-Docs,,,,,,,1,1,,,,2020m9
Graphite-Docs,,,,,,,.5,1,,,1,2021m1
Graphite-Docs,0,0,0,0,0,0,1,1,,,,2021m5
Jermolene,0,0,0,0,0,0,.2647058823529412,.4444444444444444,.5,.1428571428571428,.0714285714285714,2016m1
Jermolene,0,0,0,0,0,0,.3142857142857143,.8181818181818182,0,.1428571428571428,0,2016m2
Jermolene,0,.0217391304347826,0,.0217391304347826,0,0,.3571428571428572,.8,.5,0,0,2016m3
Jermolene,0,0,0,0,0,0,.1428571428571428,.75,0,0,0,2016m4
Jermolene,0,0,0,0,0,0,.2,.25,0,0,0,2016m5
Jermolene,0,0,0,0,0,0,.1904761904761905,0,,0,.1,2016m6
Jermolene,0,0,0,0,0,0,.2857142857142857,.375,0,0,.0833333333333333,2016m7
Jermolene,0,0,0,0,0,0,.4333333333333333,.6153846153846154,1,0,0,2016m8
Jermolene,0,0,0,0,0,0,.1764705882352941,1,0,,0,2016m9
Jermolene,.0238095238095238,0,0,0,0,0,.1,.5,.5,.3333333333333333,0,2016m10
Jermolene,0,0,0,0,0,0,.2307692307692308,.6666666666666666,,0,0,2016m11
Jermolene,0,0,0,0,0,0,.4230769230769231,.5454545454545454,0,0,0,2016m12
Jermolene,0,0,0,0,0,0,.2903225806451613,.8888888888888888,.3333333333333333,.75,0,2017m1
Jermolene,0,0,0,0,0,0,.25,.25,0,.2,.0714285714285714,2017m2
Jermolene,0,0,0,0,0,0,.4137931034482759,.8333333333333334,1,0,0,2017m3
Jermolene,0,0,0,.0416666666666667,0,0,.2,.5,0,,0,2017m4
Jermolene,0,0,0,0,0,0,.3513513513513514,.3846153846153846,1,.25,0,2017m5
Jermolene,.0384615384615385,0,0,.0192307692307692,0,0,.2727272727272727,.6666666666666666,1,0,0,2017m6
Jermolene,0,0,0,0,0,0,.3157894736842105,.6666666666666666,.3333333333333333,1,0,2017m7
Jermolene,0,0,0,0,0,0,.2941176470588235,.6,.5,0,0,2017m8
Jermolene,0,0,0,0,0,0,.2173913043478261,.4,1,0,0,2017m9
Jermolene,0,0,0,0,0,0,.2631578947368421,.6,.5,0,0,2017m10
Jermolene,0,0,0,0,0,0,.2142857142857143,.6666666666666666,.5,0,0,2017m11
Jermolene,0,0,0,.0222222222222222,0,0,.2424242424242424,.5,.25,0,0,2017m12
Jermolene,0,.0294117647058824,0,0,0,0,.3,.5555555555555556,.1666666666666667,0,0,2018m1
Jermolene,0,0,0,0,0,0,.1785714285714286,.6,0,0,0,2018m2
Jermolene,0,0,0,0,0,0,.2972972972972973,.8181818181818182,.6666666666666666,0,.0625,2018m3
Jermolene,0,0,0,0,0,0,.2068965517241379,.6666666666666666,0,.2,0,2018m4
Jermolene,0,0,0,0,0,0,.1111111111111111,.5,.25,0,.0476190476190476,2018m5
Jermolene,0,0,0,0,0,0,.1904761904761905,.75,.3333333333333333,0,0,2018m6
Jermolene,0,0,0,0,0,0,.0952380952380952,.5,0,.2,0,2018m7
Jermolene,0,0,0,0,0,0,.2432432432432433,.6666666666666666,0,0,.0588235294117647,2018m8
Jermolene,0,0,0,0,0,0,.2222222222222222,.5,0,0,0,2018m9
Jermolene,0,0,0,0,0,0,.34375,.8181818181818182,1,0,0,2018m10
Jermolene,0,0,.0111111111111111,0,.0111111111111111,0,.1176470588235294,1,.2,0,.125,2018m11
Jermolene,.0133333333333333,.0133333333333333,0,0,0,0,.21875,.4285714285714285,0,.1666666666666667,.0714285714285714,2018m12
Jermolene,0,0,0,0,0,0,.2,.7142857142857143,.5,.125,.0714285714285714,2019m1
Jermolene,0,0,0,0,0,0,.16,1,0,.4285714285714285,0,2019m2
Jermolene,0,.0125,0,.0125,0,0,.2307692307692308,.8333333333333334,,0,0,2019m3
Jermolene,0,0,0,0,0,0,.3,.8888888888888888,0,.5,0,2019m4
Jermolene,.0714285714285714,0,0,.0357142857142857,0,0,.4117647058823529,.2857142857142857,,0,0,2019m5
Jermolene,0,0,0,0,0,0,.2222222222222222,1,0,0,.0769230769230769,2019m6
Jermolene,.0303030303030303,0,0,0,0,0,.2857142857142857,.6666666666666666,0,0,0,2019m7
Jermolene,0,0,0,0,0,0,.4523809523809524,.631578947368421,0,.25,0,2019m8
Jermolene,0,0,0,.0192307692307692,0,0,.2195121951219512,.8888888888888888,0,.3333333333333333,0,2019m9
Jermolene,0,0,.0116279069767442,.0116279069767442,0,0,.2,.6666666666666666,.3333333333333333,0,0,2019m10
Jermolene,0,0,0,0,0,0,.35,.5714285714285714,0,,.1111111111111111,2019m11
Jermolene,0,0,0,0,0,0,.4090909090909091,.6666666666666666,,0,0,2019m12
Jermolene,0,0,0,0,0,0,.2727272727272727,.7777777777777778,,0,.0625,2020m1
Jermolene,0,0,0,0,0,0,.3076923076923077,.875,0,0,0,2020m2
Jermolene,.015625,0,0,0,0,0,.1818181818181818,.8333333333333334,.3333333333333333,.3333333333333333,0,2020m3
Jermolene,.0208333333333333,0,0,.0104166666666667,0,0,.3962264150943396,.3809523809523809,.5555555555555556,0,.0526315789473684,2020m4
Jermolene,0,0,0,0,0,0,.3877551020408163,.8421052631578947,0,0,0,2020m5
Jermolene,0,0,0,0,0,0,.3243243243243243,.6666666666666666,0,.1666666666666667,0,2020m6
Jermolene,0,0,0,0,0,0,.3333333333333333,.7272727272727273,0,0,0,2020m7
Jermolene,0,0,0,0,0,0,.3095238095238095,.6923076923076923,1,0,.0625,2020m8
Jermolene,0,0,0,0,0,0,.2916666666666667,.5714285714285714,.5,.2,.125,2020m9
Jermolene,.0117647058823529,0,0,0,0,0,.34375,.5454545454545454,.6666666666666666,0,0,2020m10
Jermolene,.0146341463414634,0,0,0,0,0,.2941176470588235,.7,.3333333333333333,0,0,2020m11
Jermolene,0,0,0,0,0,0,.2619047619047619,.4545454545454545,.3333333333333333,.3333333333333333,.2105263157894737,2020m12
Jermolene,.0119047619047619,0,0,0,0,0,.2407407407407407,.6153846153846154,.1666666666666667,.4,.0909090909090909,2021m1
Jermolene,0,0,0,0,0,0,.1470588235294118,.8,.5,0,.1176470588235294,2021m2
Jermolene,0,0,0,0,0,0,.3235294117647059,.6363636363636364,.5,.3333333333333333,.1176470588235294,2021m3
Jermolene,0,0,0,0,0,0,.1515151515151515,.6,.3333333333333333,.3333333333333333,.0588235294117647,2021m4
Jermolene,0,0,0,0,0,0,.1621621621621622,.8333333333333334,.5,.3333333333333333,.0588235294117647,2021m5
Jermolene,.0163934426229508,0,0,0,0,0,.1612903225806452,.4,.6666666666666666,1,.1875,2021m6
Jermolene,.0217391304347826,0,0,.0217391304347826,0,0,.2380952380952381,.6,0,.5,0,2021m7
Jermolene,.0169491525423729,0,0,0,0,0,.4074074074074074,.7272727272727273,.75,0,0,2021m8
Jermolene,0,0,0,0,0,0,.1785714285714286,.8,.6666666666666666,.5,.2,2021m9
Jermolene,0,0,0,0,0,0,.25,.8571428571428571,0,0,.0714285714285714,2021m10
Jermolene,0,0,0,0,0,0,.2142857142857143,.8333333333333334,.5,.5,0,2021m11
Jermolene,0,0,0,0,0,0,.1428571428571428,.3333333333333333,0,1,.1666666666666667,2021m12
Konjure,,,,,,,1,1,,,,2016m1
Konjure,,,,,,,1,1,,,,2016m2
Konjure,,,,,,,1,1,,,,2016m3
Konjure,,,,,,,.3333333333333333,0,0,,,2016m4
Konjure,,,,,,,.6,1,1,0,,2016m5
Konjure,,,,,,,1,1,,,,2016m6
Konjure,,,,,,,0,,,,,2016m7
